f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: None, cents_error: None
f1: 30.87, f2: 29.14, latency: 0.0, cents_error: 354.9416415542938
f1: 30.87, f2: 32.7, latency: 0.026000000000000023, cents_error: 0.8975154443561036
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 297.55978954517525
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -109.34166985268419
f1: 34.65, f2: 32.7, latency: 0.0, cents_error: 123.07786421930157
f1: 34.65, f2: 36.71, latency: 0.020000000000000018, cents_error: 17.393385639154037
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: -17.393230617778226
f1: 36.71, f2: 38.89, latency: 0.0020000000000000018, cents_error: 198.95780154264514
f1: 38.89, f2: 36.71, latency: 0.02400000000000002, cents_error: -19.037390679495175
f1: 38.89, f2: 41.2, latency: 0.028000000000000025, cents_error: 31.754626433412632
f1: 41.2, f2: 38.89, latency: 0.030000000000000027, cents_error: -1.379028823552372
f1: 41.2, f2: 43.65, latency: 0.02200000000000002, cents_error: 40.67484334663847
f1: 43.65, f2: 41.2, latency: 0.028000000000000025, cents_error: 26.30175689232873
f1: 43.65, f2: 46.25, latency: 0.0, cents_error: -598.2461065271661
f1: 46.25, f2: 43.65, latency: 0.02200000000000002, cents_error: 43.77288145521053
f1: 46.25, f2: 49.0, latency: 0.028000000000000025, cents_error: 1.861800668424827
f1: 49.0, f2: 46.25, latency: 0.026000000000000023, cents_error: 5.652571823565827
f1: 49.0, f2: 51.91, latency: 0.018000000000000016, cents_error: -28.35607629044555
f1: 51.91, f2: 49.0, latency: 0.0, cents_error: 171.00760241793972
f1: 51.91, f2: 55.0, latency: 0.010000000000000009, cents_error: 33.98627676578558
f1: 55.0, f2: 51.91, latency: 0.0020000000000000018, cents_error: -54.87749158824113
f1: 55.0, f2: 58.27, latency: 0.030000000000000027, cents_error: 8.00419693928953
f1: 58.27, f2: 55.0, latency: 0.028000000000000025, cents_error: -3.462497518090127
f1: 58.27, f2: 61.74, latency: 0.028000000000000025, cents_error: 11.295103616585164
f1: 61.74, f2: 58.27, latency: 0.030000000000000027, cents_error: 11.661830829504554
f1: 61.74, f2: 65.41, latency: 0.02200000000000002, cents_error: -19.356992578716245
f1: 65.41, f2: 61.74, latency: 0.028000000000000025, cents_error: 10.165163335093677
f1: 65.41, f2: 69.3, latency: 0.018000000000000016, cents_error: -22.85218067144494
f1: 69.3, f2: 65.41, latency: 0.02200000000000002, cents_error: -13.665731393409999
f1: 69.3, f2: 73.42, latency: 0.020000000000000018, cents_error: 2.3375865458226803
f1: 73.42, f2: 69.3, latency: 0.014000000000000012, cents_error: -30.791408292990962
f1: 73.42, f2: 77.78, latency: 0.028000000000000025, cents_error: 5.401528434908898
f1: 77.78, f2: 73.42, latency: 0.0, cents_error: -1429.4540476397503
f1: 77.78, f2: 82.41, latency: 0.02200000000000002, cents_error: 13.175216212715705
f1: 82.41, f2: 77.78, latency: 0.028000000000000025, cents_error: 5.393446108543034
f1: 82.41, f2: 87.31, latency: 0.0040000000000000036, cents_error: -97.25924331688834
f1: 87.31, f2: 82.41, latency: 0.016000000000000014, cents_error: 27.83055819307347
f1: 87.31, f2: 92.5, latency: 0.018000000000000016, cents_error: 4.035178449167263
f1: 92.5, f2: 87.31, latency: 0.016000000000000014, cents_error: -22.271973240517454
f1: 92.5, f2: 98.0, latency: 0.02400000000000002, cents_error: -9.96441015275256
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, cents_error: 4.433253635704775
f1: 98.0, f2: 103.83, latency: 0.02200000000000002, cents_error: -9.313288905926328
f1: 103.83, f2: 98.0, latency: 0.02400000000000002, cents_error: 4.179058404524972
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, cents_error: 4.264842571786473
f1: 110.0, f2: 103.83, latency: 0.0, cents_error: -1969.8692085890527
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2203.6234070461082
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2117.2251431210716
