f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.97, cents_error: 92.33855686563034
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.040000000000000036, cents_error: 0.5637420865501676
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 311.8237121851651
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -109.01359045215112
f1: 34.65, f2: 32.7, latency: 0.020000000000000018, cents_error: 13.066398747311183
f1: 34.65, f2: 36.71, latency: 0.010000000000000009, cents_error: 75.72536498460633
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: 1.7945896117939792
f1: 36.71, f2: 38.89, latency: 0.030000000000000027, cents_error: 9.443569288191119
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -208.57419905884944
f1: 38.89, f2: 41.2, latency: 0.030000000000000027, cents_error: 12.764635759363674
f1: 41.2, f2: 38.89, latency: 0.030000000000000027, cents_error: 8.71986239119544
f1: 41.2, f2: 43.65, latency: 0.020000000000000018, cents_error: 32.450020528185455
f1: 43.65, f2: 41.2, latency: 0.020000000000000018, cents_error: 4.829695403204955
f1: 43.65, f2: 46.25, latency: 0.0, cents_error: -636.2045965147577
f1: 46.25, f2: 43.65, latency: 0.020000000000000018, cents_error: 36.08794251875543
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -387.1276574162407
f1: 49.0, f2: 46.25, latency: 0.030000000000000027, cents_error: 8.852351705875213
f1: 49.0, f2: 51.91, latency: 0.010000000000000009, cents_error: -92.63134807254774
f1: 51.91, f2: 49.0, latency: 0.0, cents_error: 137.84092510376118
f1: 51.91, f2: 55.0, latency: 0.030000000000000027, cents_error: 17.049886562625005
f1: 55.0, f2: 51.91, latency: 0.020000000000000018, cents_error: -16.826332987371828
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -1005.0187002367096
f1: 58.27, f2: 55.0, latency: 0.030000000000000027, cents_error: 14.465628184367807
f1: 58.27, f2: 61.74, latency: 0.030000000000000027, cents_error: 2.9266036036348453
f1: 61.74, f2: 58.27, latency: 0.040000000000000036, cents_error: 22.087231781339312
f1: 61.74, f2: 65.41, latency: 0.030000000000000027, cents_error: -2.3063938125998447
f1: 65.41, f2: 61.74, latency: 0.030000000000000027, cents_error: 3.1953353356601504
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, cents_error: -5.119433450280099
f1: 69.3, f2: 65.41, latency: 0.020000000000000018, cents_error: 7.78937046403967
f1: 69.3, f2: 73.42, latency: 0.020000000000000018, cents_error: -0.05421241159696057
f1: 73.42, f2: 69.3, latency: 0.020000000000000018, cents_error: -3.08472101999841
f1: 73.42, f2: 77.78, latency: 0.030000000000000027, cents_error: 3.0865676738515164
f1: 77.78, f2: 73.42, latency: 0.030000000000000027, cents_error: 2.471514994509999
f1: 77.78, f2: 82.41, latency: 0.020000000000000018, cents_error: 5.011895747533987
f1: 82.41, f2: 77.78, latency: 0.030000000000000027, cents_error: 3.1515752867937983
f1: 82.41, f2: 87.31, latency: 0.020000000000000018, cents_error: 2.6305941508418895
f1: 87.31, f2: 82.41, latency: 0.020000000000000018, cents_error: 5.128924461845174
f1: 87.31, f2: 92.5, latency: 0.0, cents_error: -1817.1693683275696
f1: 92.5, f2: 87.31, latency: 0.020000000000000018, cents_error: 4.529772089363931
f1: 92.5, f2: 98.0, latency: 0.030000000000000027, cents_error: -2.257666003427867
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, cents_error: 1.8779580855190967
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -11.548104964228836
f1: 103.83, f2: 98.0, latency: 0.020000000000000018, cents_error: 7.589482673293472
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, cents_error: -8.273456208030858
f1: 110.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -10.876171142866069
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2204.8288199475705
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2126.065397273513
