f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.966, cents_error: 88.97996264950007
f1: 30.87, f2: 29.14, latency: 0.0, cents_error: 405.19969374260074
f1: 30.87, f2: 32.7, latency: 0.026000000000000023, cents_error: 6.76426589074914
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 295.51902791648223
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -101.89879247107713
f1: 34.65, f2: 32.7, latency: 0.02400000000000002, cents_error: 17.704327766908698
f1: 34.65, f2: 36.71, latency: 0.0, cents_error: 14.304041475407766
f1: 36.71, f2: 34.65, latency: 0.04200000000000004, cents_error: 3.7189931286510354
f1: 36.71, f2: 38.89, latency: 0.0020000000000000018, cents_error: 178.53662134815406
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -198.8619707462317
f1: 38.89, f2: 41.2, latency: 0.03200000000000003, cents_error: 3.567901405697925
f1: 41.2, f2: 38.89, latency: 0.028000000000000025, cents_error: 4.745593406638677
f1: 41.2, f2: 43.65, latency: 0.018000000000000016, cents_error: 41.80260565659972
f1: 43.65, f2: 41.2, latency: 0.028000000000000025, cents_error: 8.483806024896767
f1: 43.65, f2: 46.25, latency: 0.028000000000000025, cents_error: 2.359081482785694
f1: 46.25, f2: 43.65, latency: 0.018000000000000016, cents_error: 45.47986780600126
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -395.86061066095834
f1: 49.0, f2: 46.25, latency: 0.02400000000000002, cents_error: 14.896301086899623
f1: 49.0, f2: 51.91, latency: 0.0040000000000000036, cents_error: -122.91112064633435
f1: 51.91, f2: 49.0, latency: 0.016000000000000014, cents_error: 34.81944444266258
f1: 51.91, f2: 55.0, latency: 0.0, cents_error: 44.16121671098175
f1: 55.0, f2: 51.91, latency: 0.0, cents_error: -64.53221644504411
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -995.2357181582963
f1: 58.27, f2: 55.0, latency: 0.02400000000000002, cents_error: 10.962967163509818
f1: 58.27, f2: 61.74, latency: 0.028000000000000025, cents_error: 8.192725086027693
f1: 61.74, f2: 58.27, latency: 0.026000000000000023, cents_error: -16.267843834624685
f1: 61.74, f2: 65.41, latency: 0.018000000000000016, cents_error: -23.962924409237758
f1: 65.41, f2: 61.74, latency: 0.028000000000000025, cents_error: 9.34482809782952
f1: 65.41, f2: 69.3, latency: 0.0040000000000000036, cents_error: -123.18155250587623
f1: 69.3, f2: 65.41, latency: 0.018000000000000016, cents_error: 12.104455318936964
f1: 69.3, f2: 73.42, latency: 0.016000000000000014, cents_error: 14.97746370392041
f1: 73.42, f2: 69.3, latency: 0.01200000000000001, cents_error: -19.974610303877036
f1: 73.42, f2: 77.78, latency: 0.02200000000000002, cents_error: 15.729168714236263
f1: 77.78, f2: 73.42, latency: 0.016000000000000014, cents_error: -19.399910817979965
f1: 77.78, f2: 82.41, latency: 0.018000000000000016, cents_error: 13.890782513678484
f1: 82.41, f2: 77.78, latency: 0.02200000000000002, cents_error: 16.928243412871325
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -115.5642279098838
f1: 87.31, f2: 82.41, latency: 0.0, cents_error: 130.44463561263413
f1: 87.31, f2: 92.5, latency: 0.0020000000000000018, cents_error: -1818.6605322280514
f1: 92.5, f2: 87.31, latency: 0.014000000000000012, cents_error: -21.57467714071389
f1: 92.5, f2: 98.0, latency: 0.018000000000000016, cents_error: -6.528706718139491
f1: 98.0, f2: 92.5, latency: 0.016000000000000014, cents_error: 7.572728021096063
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -20.950540657038655
f1: 103.83, f2: 98.0, latency: 0.02200000000000002, cents_error: 0.48436249179895585
f1: 103.83, f2: 110.0, latency: 0.014000000000000012, cents_error: 26.428090079410552
f1: 110.0, f2: 103.83, latency: 0.0, cents_error: -1973.325340985593
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2201.703475494309
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2125.3085910866616
