f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.05699999999999994, cents_error: 92.74948737764406
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.03600000000000003, cents_error: 13.446487216073079
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 302.81038608605553
f1: 32.7, f2: 34.65, latency: 0.006000000000000005, cents_error: -89.39291441182415
f1: 34.65, f2: 32.7, latency: 0.004999999999999893, cents_error: 119.31051729294101
f1: 34.65, f2: 36.71, latency: 0.0029999999999998916, cents_error: 70.01821013750781
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: 11.706810968853661
f1: 36.71, f2: 38.89, latency: 0.02200000000000002, cents_error: 14.497494668211345
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -200.72510493041503
f1: 38.89, f2: 41.2, latency: 0.028999999999999915, cents_error: 6.755456810377352
f1: 41.2, f2: 38.89, latency: 0.02400000000000002, cents_error: -2.4536296497909955
f1: 41.2, f2: 43.65, latency: 0.016000000000000014, cents_error: 78.73214064587071
f1: 43.65, f2: 41.2, latency: 0.026999999999999913, cents_error: 4.109768383516554
f1: 43.65, f2: 46.25, latency: 0.026000000000000023, cents_error: 13.658187279764704
f1: 46.25, f2: 43.65, latency: 0.016999999999999904, cents_error: 80.31767413752428
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -411.30306296132846
f1: 49.0, f2: 46.25, latency: 0.02499999999999991, cents_error: 15.39762408932243
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -172.45030506104726
f1: 51.91, f2: 49.0, latency: 0.0129999999999999, cents_error: 98.72258681444596
f1: 51.91, f2: 55.0, latency: 0.0009999999999998899, cents_error: 65.5505545725824
f1: 55.0, f2: 51.91, latency: 0.016999999999999904, cents_error: -22.548805980728385
f1: 55.0, f2: 58.27, latency: 0.0020000000000000018, cents_error: -988.9145839917667
f1: 58.27, f2: 55.0, latency: 0.02400000000000002, cents_error: -3.8714983055175742
f1: 58.27, f2: 61.74, latency: 0.028000000000000025, cents_error: 7.888705283499147
f1: 61.74, f2: 58.27, latency: 0.030000000000000027, cents_error: 6.123198858092549
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, cents_error: 1.0486308902415997
f1: 65.41, f2: 61.74, latency: 0.028000000000000025, cents_error: 5.764890872918138
f1: 65.41, f2: 69.3, latency: 0.014000000000000012, cents_error: -29.10721589990804
f1: 69.3, f2: 65.41, latency: 0.02299999999999991, cents_error: -1.6960451518147928
f1: 69.3, f2: 73.42, latency: 0.008999999999999897, cents_error: 31.7051067928543
f1: 73.42, f2: 69.3, latency: 0.010000000000000009, cents_error: -34.390695254378876
f1: 73.42, f2: 77.78, latency: 0.02200000000000002, cents_error: 10.154913675699758
f1: 77.78, f2: 73.42, latency: 0.018000000000000016, cents_error: -0.43599920545219156
f1: 77.78, f2: 82.41, latency: 0.014999999999999902, cents_error: 10.338618106579931
f1: 82.41, f2: 77.78, latency: 0.02200000000000002, cents_error: 11.762699935338286
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -117.75589791582951
f1: 87.31, f2: 82.41, latency: 0.01200000000000001, cents_error: 18.702300817503154
f1: 87.31, f2: 92.5, latency: 0.010999999999999899, cents_error: 14.163887084683905
f1: 92.5, f2: 87.31, latency: 0.010000000000000009, cents_error: -49.63467656627724
f1: 92.5, f2: 98.0, latency: 0.0029999999999998916, cents_error: -1634.8749448518258
f1: 98.0, f2: 92.5, latency: 0.0, cents_error: -1534.1967072082257
f1: 98.0, f2: 103.83, latency: 0.018999999999999906, cents_error: -16.38826551733193
f1: 103.83, f2: 98.0, latency: 0.0, cents_error: -1758.9251376078885
f1: 103.83, f2: 110.0, latency: 0.014000000000000012, cents_error: 28.76764590106792
f1: 110.0, f2: 103.83, latency: 0.016999999999999904, cents_error: -20.555816561824155
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2202.0609623844207
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2115.6762303128244
