f1: 16.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, f_detected: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, f_detected: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, f_detected: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, f_detected: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, f_detected: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, f_detected: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, f_detected: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, f_detected: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, f_detected: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, f_detected: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, f_detected: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, f_detected: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, f_detected: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, f_detected: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, f_detected: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, f_detected: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, f_detected: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, f_detected: None, cents_error: None
f1: 29.14, f2: 30.87, latency: None, f_detected: None, cents_error: None
f1: 30.87, f2: 29.14, latency: None, f_detected: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.05499999999999994, f_detected: 32.86382056964108, cents_error: 8.651489063775983
f1: 32.7, f2: 30.87, latency: 0.0, f_detected: 36.94381563055965, cents_error: 310.9528745617377
f1: 32.7, f2: 34.65, latency: 0.030000000000000027, f_detected: 34.665767176118514, cents_error: 0.7876035637156846
f1: 34.65, f2: 32.7, latency: 0.05499999999999994, f_detected: 32.86382056964108, cents_error: 8.651489063775983
f1: 34.65, f2: 36.71, latency: 0.004999999999999893, f_detected: 38.32995672775557, cents_error: 74.75910598185814
f1: 36.71, f2: 34.65, latency: 0.030000000000000027, f_detected: 34.66539169833101, cents_error: 0.7688518237777593
f1: 36.71, f2: 38.89, latency: 0.004999999999999893, f_detected: 43.64359177667258, cents_error: 199.6447230856216
f1: 38.89, f2: 36.71, latency: 0.030000000000000027, f_detected: 36.95889164212193, cents_error: 11.698053689212358
f1: 38.89, f2: 41.2, latency: 0.11499999999999999, f_detected: 41.25224042183572, cents_error: 2.193764745716877
f1: 41.2, f2: 38.89, latency: 0.02499999999999991, f_detected: 38.51585714191331, cents_error: -16.736043586440335
f1: 41.2, f2: 43.65, latency: 0.02499999999999991, f_detected: 44.333904909131135, cents_error: 26.91454336067416
f1: 43.65, f2: 41.2, latency: 0.11499999999999999, f_detected: 41.25224042183572, cents_error: 2.193764745716877
f1: 43.65, f2: 46.25, latency: 0.02499999999999991, f_detected: 47.2594015096815, cents_error: 37.37759231065182
f1: 46.25, f2: 43.65, latency: 0.02499999999999991, f_detected: 44.37994699497635, cents_error: 28.711548724576446
f1: 46.25, f2: 49.0, latency: 0.0, f_detected: 38.78107325912292, cents_error: -404.9148226905148
f1: 49.0, f2: 46.25, latency: 0.020000000000000018, f_detected: 47.52314990721925, cents_error: 47.0125172611121
f1: 49.0, f2: 51.91, latency: 0.0, f_detected: 47.44023771897175, cents_error: -155.88149832757637
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, f_detected: 49.18278571578136, cents_error: 6.446042819510001
f1: 51.91, f2: 55.0, latency: 0.040000000000000036, f_detected: 55.2302537427267, cents_error: 7.23256430184368
f1: 55.0, f2: 51.91, latency: 0.02499999999999991, f_detected: 52.18186627522275, cents_error: 9.043266097726494
f1: 55.0, f2: 58.27, latency: 0.0, f_detected: 32.58863426627472, cents_error: -1006.0613018576817
f1: 58.27, f2: 55.0, latency: 0.040000000000000036, f_detected: 55.2302537427267, cents_error: 7.23256430184368
f1: 58.27, f2: 61.74, latency: 0.030000000000000027, f_detected: 62.38484711149623, cents_error: 17.98820051841734
f1: 61.74, f2: 58.27, latency: 0.03499999999999992, f_detected: 58.67997453763578, cents_error: 12.137921175850838
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, f_detected: 63.20940038852395, cents_error: -59.246502069583286
f1: 65.41, f2: 61.74, latency: 0.030000000000000027, f_detected: 62.38208065111459, cents_error: 17.911427121897248
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, f_detected: 68.41884558993877, cents_error: -22.153908239274138
f1: 69.3, f2: 65.41, latency: 0.0, f_detected: 70.30861708731403, cents_error: 125.02836444399462
f1: 69.3, f2: 73.42, latency: 0.014999999999999902, f_detected: 74.03915799829775, cents_error: 14.5384487795671
f1: 73.42, f2: 69.3, latency: 0.0, f_detected: 67.85866397507334, cents_error: -36.38679157756558
f1: 73.42, f2: 77.78, latency: 0.02499999999999991, f_detected: 78.27309895920581, cents_error: 10.94079585196151
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, f_detected: 73.43528647351474, cents_error: 0.3604155379074689
f1: 77.78, f2: 82.41, latency: 0.014999999999999902, f_detected: 82.9098880183233, cents_error: 10.46971185367995
f1: 82.41, f2: 77.78, latency: 0.02499999999999991, f_detected: 78.16814750785058, cents_error: 8.617935897229033
f1: 82.41, f2: 87.31, latency: 0.0, f_detected: 81.48310178327635, cents_error: -119.5752020813731
f1: 87.31, f2: 82.41, latency: 0.014999999999999902, f_detected: 82.57398425338401, cents_error: 3.4414881873817253
f1: 87.31, f2: 92.5, latency: 0.010000000000000009, f_detected: 94.1031377984789, cents_error: 29.747356451868644
f1: 92.5, f2: 87.31, latency: 0.0, f_detected: 82.87921373812685, cents_error: -90.16390209918269
f1: 92.5, f2: 98.0, latency: 0.02499999999999991, f_detected: 97.5033377781981, cents_error: -8.79617104017363
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, f_detected: 93.23291349133798, cents_error: 13.663182828846676
f1: 98.0, f2: 103.83, latency: 0.0, f_detected: 95.8256195325829, cents_error: -138.88802621368478
f1: 103.83, f2: 98.0, latency: 0.02499999999999991, f_detected: 97.91609571880313, cents_error: -1.4828588413650428
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, f_detected: 110.83387258890002, cents_error: 13.074402607316985
f1: 110.0, f2: 103.83, latency: 0.02499999999999991, f_detected: 103.09936197227043, cents_error: -12.225531221253904
f1: 110.0, f2: 116.54, latency: 0.0, f_detected: 32.63527616920011, cents_error: -2203.5852753918434
f1: 116.54, f2: 110.0, latency: 0.02499999999999991, f_detected: 110.06963671772613, cents_error: 1.0956301161261017
f1: 116.54, f2: 123.47, latency: 0.0, f_detected: 117.37434019650836, cents_error: -87.65219881029067
f1: 123.47, f2: 116.54, latency: 0.0, f_detected: 121.9946576401899, cents_error: 79.19130627592969
f1: 123.47, f2: 130.81, latency: 0.030000000000000027, f_detected: 130.1845356843763, cents_error: -8.297700101317055
f1: 130.81, f2: 123.47, latency: 0.02499999999999991, f_detected: 122.72375505482123, cents_error: -10.495218405475766
f1: 130.81, f2: 138.59, latency: 0.020000000000000018, f_detected: 138.53773103818156, cents_error: -0.6530548721594145
f1: 138.59, f2: 130.81, latency: 0.02499999999999991, f_detected: 131.03814890944273, cents_error: 3.016857379985939
f1: 138.59, f2: 146.83, latency: 0.0, f_detected: 150.42188032603948, cents_error: 41.8412034764746
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, f_detected: 137.92851932415, cents_error: -8.28284525799499
f1: 146.83, f2: 155.56, latency: 0.020000000000000018, f_detected: 154.37924700687063, cents_error: -13.190776542245425
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, f_detected: 147.40179274011692, cents_error: 6.728765084399932
f1: 155.56, f2: 164.81, latency: 0.020000000000000018, f_detected: 165.38746873898828, cents_error: 6.055373872238476
f1: 164.81, f2: 155.56, latency: 0.004999999999999893, f_detected: 151.53228978020493, cents_error: -45.41507013962694
f1: 164.81, f2: 174.61, latency: 0.020000000000000018, f_detected: 174.76229364633983, cents_error: 1.509312372470867
f1: 174.61, f2: 164.81, latency: 0.020000000000000018, f_detected: 165.32798377329857, cents_error: 5.4325883426367385
f1: 174.61, f2: 185.0, latency: 0.020000000000000018, f_detected: 185.87316238920693, cents_error: 8.151850308157586
f1: 185.0, f2: 174.61, latency: 0.02499999999999991, f_detected: 175.57276018141573, cents_error: 9.519414409923348
f1: 185.0, f2: 196.0, latency: 0.0, f_detected: 191.94536171801062, cents_error: -36.189547051494785
f1: 196.0, f2: 185.0, latency: 0.0, f_detected: 189.6415042149152, cents_error: 42.89936492912913
f1: 196.0, f2: 207.65, latency: 0.02499999999999991, f_detected: 207.25618012434037, cents_error: -3.28650001062279
f1: 207.65, f2: 196.0, latency: 0.020000000000000018, f_detected: 196.03135899538745, cents_error: 0.27696641826914054
f1: 207.65, f2: 220.0, latency: 0.010000000000000009, f_detected: 225.1008752401864, cents_error: 39.68177107066711
f1: 220.0, f2: 207.65, latency: 0.004999999999999893, f_detected: 203.46518385214054, cents_error: -35.24630922339525
f1: 220.0, f2: 233.08, latency: 0.0, f_detected: 231.9081868245206, cents_error: -8.725757860801698
f1: 233.08, f2: 220.0, latency: 0.0, f_detected: 223.5019434433046, cents_error: 27.34062306328993
f1: 233.08, f2: 246.94, latency: 0.0, f_detected: 236.72779344553123, cents_error: -73.11773858436362
f1: 246.94, f2: 233.08, latency: 0.004999999999999893, f_detected: 238.60020668454015, cents_error: 40.52409234350573
f1: 246.94, f2: 261.63, latency: 0.014999999999999902, f_detected: 259.97720124582156, cents_error: -10.97144000015
f1: 261.63, f2: 246.94, latency: 0.020000000000000018, f_detected: 247.5968830211272, cents_error: 4.599126820593703
f1: 261.63, f2: 277.18, latency: 0.014999999999999902, f_detected: 278.07397005984376, cents_error: 5.5746480968200105
f1: 277.18, f2: 261.63, latency: 0.014999999999999902, f_detected: 263.43965319598317, cents_error: 11.933447745918496
f1: 277.18, f2: 293.66, latency: 0.010000000000000009, f_detected: 295.9647579102395, cents_error: 13.53435600311117
f1: 293.66, f2: 277.18, latency: 0.004999999999999893, f_detected: 272.466124379805, cents_error: -29.695550293435424
f1: 293.66, f2: 311.13, latency: 0.020000000000000018, f_detected: 311.87131576308866, cents_error: 4.1200288455560266
f1: 311.13, f2: 293.66, latency: 0.004999999999999893, f_detected: 290.6001018615635, cents_error: -18.13386969616794
f1: 311.13, f2: 329.63, latency: 0.020000000000000018, f_detected: 331.66403087991085, cents_error: 10.650011815521076
f1: 329.63, f2: 311.13, latency: 0.020000000000000018, f_detected: 311.3592748308995, cents_error: 1.27529397804989
f1: 329.63, f2: 349.23, latency: 0.014999999999999902, f_detected: 349.5809012696237, cents_error: 1.7386456787905413
f1: 349.23, f2: 329.63, latency: 0.020000000000000018, f_detected: 331.8628414892139, cents_error: 11.687461000396272
f1: 349.23, f2: 369.99, latency: 0.0, f_detected: 354.3220739105458, cents_error: -74.90991809256934
