f1: 138.59, f2: 146.83, latency: 0.0, cents_error: 41.8412034764746
f1: 138.59, f2: 155.56, latency: 0.010000000000000009, cents_error: -44.423355652487295
f1: 138.59, f2: 164.81, latency: 0.010000000000000009, cents_error: -3.094066975894419
f1: 138.59, f2: 174.61, latency: 0.020000000000000018, cents_error: 6.4338639778306455
f1: 138.59, f2: 185.0, latency: 0.014999999999999902, cents_error: 17.98920070130727
f1: 138.59, f2: 196.0, latency: 0.014999999999999902, cents_error: 0.768672774340271
f1: 138.59, f2: 207.65, latency: 0.020000000000000018, cents_error: -6.632792047551583
f1: 138.59, f2: 220.0, latency: 0.010000000000000009, cents_error: 10.589554006462444
f1: 138.59, f2: 233.08, latency: 0.010000000000000009, cents_error: 10.495475385228007
f1: 138.59, f2: 246.94, latency: 0.010000000000000009, cents_error: -5.808109612851062
f1: 138.59, f2: 261.63, latency: 0.010000000000000009, cents_error: 0.7556141473202268
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, cents_error: -8.28284525799499
f1: 146.83, f2: 155.56, latency: 0.020000000000000018, cents_error: -13.190776542245425
f1: 146.83, f2: 164.81, latency: 0.014999999999999902, cents_error: -28.203672109637562
f1: 146.83, f2: 174.61, latency: 0.02499999999999991, cents_error: 6.210861599845054
f1: 146.83, f2: 185.0, latency: 0.010000000000000009, cents_error: 0.4646365260874434
f1: 146.83, f2: 196.0, latency: 0.010000000000000009, cents_error: -13.290294644740667
f1: 146.83, f2: 207.65, latency: 0.02499999999999991, cents_error: -4.174748531783194
f1: 146.83, f2: 220.0, latency: 0.010000000000000009, cents_error: 2.750431252321108
f1: 146.83, f2: 233.08, latency: 0.004999999999999893, cents_error: -0.5817401846906654
f1: 146.83, f2: 246.94, latency: 0.010000000000000009, cents_error: -10.589617015917593
f1: 146.83, f2: 261.63, latency: 0.014999999999999902, cents_error: 0.9315677871703747
f1: 155.56, f2: 138.59, latency: 0.004999999999999893, cents_error: 84.7302707763694
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, cents_error: 6.728765084399932
f1: 155.56, f2: 164.81, latency: 0.020000000000000018, cents_error: 6.055373872238476
f1: 155.56, f2: 174.61, latency: 0.010000000000000009, cents_error: -7.463318298878548
f1: 155.56, f2: 185.0, latency: 0.020000000000000018, cents_error: 8.531207349027593
f1: 155.56, f2: 196.0, latency: 0.014999999999999902, cents_error: 8.157398402766686
f1: 155.56, f2: 207.65, latency: 0.020000000000000018, cents_error: -3.9609044580301584
f1: 155.56, f2: 220.0, latency: 0.014999999999999902, cents_error: 14.388017128567318
f1: 155.56, f2: 233.08, latency: 0.004999999999999893, cents_error: 8.498695123957212
f1: 155.56, f2: 246.94, latency: 0.010000000000000009, cents_error: -7.61612768074613
f1: 155.56, f2: 261.63, latency: 0.010000000000000009, cents_error: 2.9570115898013873
f1: 164.81, f2: 138.59, latency: 0.014999999999999902, cents_error: -7.153856021952253
f1: 164.81, f2: 146.83, latency: 0.004999999999999893, cents_error: 66.91359559167603
f1: 164.81, f2: 155.56, latency: 0.004999999999999893, cents_error: -45.41507013962694
f1: 164.81, f2: 174.61, latency: 0.020000000000000018, cents_error: 1.509312372470867
f1: 164.81, f2: 185.0, latency: 0.004999999999999893, cents_error: 4.628088463664842
f1: 164.81, f2: 196.0, latency: 0.010000000000000009, cents_error: -9.10887954345606
f1: 164.81, f2: 207.65, latency: 0.02499999999999991, cents_error: -3.961675993308208
f1: 164.81, f2: 220.0, latency: 0.010000000000000009, cents_error: 5.12048437795598
f1: 164.81, f2: 233.08, latency: 0.004999999999999893, cents_error: 5.3029336581063005
f1: 164.81, f2: 246.94, latency: 0.010000000000000009, cents_error: -12.280835623251624
f1: 164.81, f2: 261.63, latency: 0.010000000000000009, cents_error: 3.6377793169753314
f1: 174.61, f2: 138.59, latency: 0.020000000000000018, cents_error: 12.357296532541483
f1: 174.61, f2: 146.83, latency: 0.02499999999999991, cents_error: -0.3437486130927406
f1: 174.61, f2: 155.56, latency: 0.004999999999999893, cents_error: 45.03845701957416
f1: 174.61, f2: 164.81, latency: 0.020000000000000018, cents_error: 5.4325883426367385
f1: 174.61, f2: 185.0, latency: 0.020000000000000018, cents_error: 8.151850308157586
f1: 174.61, f2: 196.0, latency: 0.010000000000000009, cents_error: 23.353502467936003
f1: 174.61, f2: 207.65, latency: 0.014999999999999902, cents_error: -10.440168958312226
f1: 174.61, f2: 220.0, latency: 0.014999999999999902, cents_error: 17.96191835462568
f1: 174.61, f2: 233.08, latency: 0.010000000000000009, cents_error: 12.850771466606375
f1: 174.61, f2: 246.94, latency: 0.010000000000000009, cents_error: -6.54395264870889
f1: 174.61, f2: 261.63, latency: 0.004999999999999893, cents_error: 8.79110781210196
f1: 185.0, f2: 138.59, latency: 0.020000000000000018, cents_error: -9.092132352943715
f1: 185.0, f2: 146.83, latency: 0.014999999999999902, cents_error: -5.239520644791929
f1: 185.0, f2: 155.56, latency: 0.020000000000000018, cents_error: -10.802477056447508
f1: 185.0, f2: 164.81, latency: 0.010000000000000009, cents_error: -15.981979251094145
f1: 185.0, f2: 174.61, latency: 0.02499999999999991, cents_error: 9.519414409923348
f1: 185.0, f2: 196.0, latency: 0.0, cents_error: -36.189547051494785
f1: 185.0, f2: 207.65, latency: 0.02499999999999991, cents_error: -3.3486338726887803
f1: 185.0, f2: 220.0, latency: 0.014999999999999902, cents_error: -5.845537964259887
f1: 185.0, f2: 233.08, latency: 0.004999999999999893, cents_error: -9.35411445907725
f1: 185.0, f2: 246.94, latency: 0.020000000000000018, cents_error: -11.07782065447175
f1: 185.0, f2: 261.63, latency: 0.004999999999999893, cents_error: 17.469212482737156
f1: 196.0, f2: 138.59, latency: 0.020000000000000018, cents_error: -6.435196995209443
f1: 196.0, f2: 146.83, latency: 0.020000000000000018, cents_error: -1.858159943764097
f1: 196.0, f2: 155.56, latency: 0.020000000000000018, cents_error: -10.346933409522228
f1: 196.0, f2: 164.81, latency: 0.010000000000000009, cents_error: 0.8462363346892372
f1: 196.0, f2: 174.61, latency: 0.02499999999999991, cents_error: 8.82156954850918
f1: 196.0, f2: 185.0, latency: 0.0, cents_error: 42.89936492912913
f1: 196.0, f2: 207.65, latency: 0.02499999999999991, cents_error: -3.28650001062279
f1: 196.0, f2: 220.0, latency: 0.010000000000000009, cents_error: -20.254882306372085
f1: 196.0, f2: 233.08, latency: 0.004999999999999893, cents_error: -12.39655999581538
f1: 196.0, f2: 246.94, latency: 0.014999999999999902, cents_error: -15.561570232035296
f1: 196.0, f2: 261.63, latency: 0.010000000000000009, cents_error: 14.356825708433876
f1: 207.65, f2: 138.59, latency: 0.02499999999999991, cents_error: 5.215208563162351
f1: 207.65, f2: 146.83, latency: 0.02499999999999991, cents_error: -1.3556852939677038
f1: 207.65, f2: 155.56, latency: 0.014999999999999902, cents_error: 6.510150466793095
f1: 207.65, f2: 164.81, latency: 0.02499999999999991, cents_error: 0.2949454796963011
f1: 207.65, f2: 174.61, latency: 0.014999999999999902, cents_error: 24.297224181937338
f1: 207.65, f2: 185.0, latency: 0.020000000000000018, cents_error: 0.8507749647429038
f1: 207.65, f2: 196.0, latency: 0.020000000000000018, cents_error: 0.27696641826914054
f1: 207.65, f2: 220.0, latency: 0.010000000000000009, cents_error: 39.68177107066711
f1: 207.65, f2: 233.08, latency: 0.0, cents_error: 20.082848407169593
f1: 207.65, f2: 246.94, latency: 0.010000000000000009, cents_error: -4.295551898192154
f1: 207.65, f2: 261.63, latency: 0.004999999999999893, cents_error: 0.8272423737410891
f1: 220.0, f2: 138.59, latency: 0.020000000000000018, cents_error: 1.7462415027431286
f1: 220.0, f2: 146.83, latency: 0.020000000000000018, cents_error: -3.779897116973465
f1: 220.0, f2: 155.56, latency: 0.020000000000000018, cents_error: -6.325330565675118
f1: 220.0, f2: 164.81, latency: 0.020000000000000018, cents_error: -8.650084737762768
f1: 220.0, f2: 174.61, latency: 0.020000000000000018, cents_error: -0.8691190085695975
f1: 220.0, f2: 185.0, latency: 0.014999999999999902, cents_error: 15.951056674699906
f1: 220.0, f2: 196.0, latency: 0.004999999999999893, cents_error: 45.57605981392322
f1: 220.0, f2: 207.65, latency: 0.004999999999999893, cents_error: -35.24630922339525
f1: 220.0, f2: 233.08, latency: 0.0, cents_error: -8.725757860801698
f1: 220.0, f2: 246.94, latency: 0.010000000000000009, cents_error: -34.648897684065275
f1: 220.0, f2: 261.63, latency: 0.010000000000000009, cents_error: 10.49253311507832
f1: 233.08, f2: 138.59, latency: 0.020000000000000018, cents_error: 3.5983022846929953
f1: 233.08, f2: 146.83, latency: 0.020000000000000018, cents_error: -6.046141453729226
f1: 233.08, f2: 155.56, latency: 0.020000000000000018, cents_error: -3.4043307923764523
f1: 233.08, f2: 164.81, latency: 0.020000000000000018, cents_error: -10.787137293624161
f1: 233.08, f2: 174.61, latency: 0.02499999999999991, cents_error: 6.606038201749704
f1: 233.08, f2: 185.0, latency: 0.014999999999999902, cents_error: 11.808739974010406
f1: 233.08, f2: 196.0, latency: 0.014999999999999902, cents_error: 3.483660747514397
f1: 233.08, f2: 207.65, latency: 0.014999999999999902, cents_error: -16.868044171887806
f1: 233.08, f2: 220.0, latency: 0.0, cents_error: 27.34062306328993
f1: 233.08, f2: 246.94, latency: 0.0, cents_error: -73.11773858436362
f1: 233.08, f2: 261.63, latency: 0.004999999999999893, cents_error: 21.16567401544536
f1: 246.94, f2: 138.59, latency: 0.020000000000000018, cents_error: 2.6671572920861717
f1: 246.94, f2: 146.83, latency: 0.020000000000000018, cents_error: -2.3474949757701253
f1: 246.94, f2: 155.56, latency: 0.014999999999999902, cents_error: -2.3199529169530564
f1: 246.94, f2: 164.81, latency: 0.020000000000000018, cents_error: -9.373431086326955
f1: 246.94, f2: 174.61, latency: 0.020000000000000018, cents_error: 8.604161948702794
f1: 246.94, f2: 185.0, latency: 0.020000000000000018, cents_error: 6.279079547398733
f1: 246.94, f2: 196.0, latency: 0.020000000000000018, cents_error: 3.772583428344807
f1: 246.94, f2: 207.65, latency: 0.014999999999999902, cents_error: -4.3946912861828435
f1: 246.94, f2: 220.0, latency: 0.010000000000000009, cents_error: 38.79834347623896
f1: 246.94, f2: 233.08, latency: 0.004999999999999893, cents_error: 40.52409234350573
f1: 246.94, f2: 261.63, latency: 0.014999999999999902, cents_error: -10.97144000015
f1: 261.63, f2: 138.59, latency: 0.014999999999999902, cents_error: 9.432278512954452
f1: 261.63, f2: 146.83, latency: 0.02499999999999991, cents_error: -5.178406694657365
f1: 261.63, f2: 155.56, latency: 0.014999999999999902, cents_error: 1.824174859802459
f1: 261.63, f2: 164.81, latency: 0.02499999999999991, cents_error: -1.8461997777070092
f1: 261.63, f2: 174.61, latency: 0.02499999999999991, cents_error: 8.86971044043059
f1: 261.63, f2: 185.0, latency: 0.020000000000000018, cents_error: -0.6987499576981133
f1: 261.63, f2: 196.0, latency: 0.020000000000000018, cents_error: -9.136039765174846
f1: 261.63, f2: 207.65, latency: 0.020000000000000018, cents_error: 4.822259319294876
f1: 261.63, f2: 220.0, latency: 0.020000000000000018, cents_error: 10.938613947538723
f1: 261.63, f2: 233.08, latency: 0.010000000000000009, cents_error: -8.630191673941205
f1: 261.63, f2: 246.94, latency: 0.020000000000000018, cents_error: 4.599126820593703
