time: 0.0, frequency: 201.33561994620368, confidence: 0.47456929087638855
time: 0.001, frequency: 200.65775175510265, confidence: 0.4152139127254486
time: 0.002, frequency: 200.69479690730594, confidence: 0.4553472697734833
time: 0.003, frequency: 200.1848558044206, confidence: 0.4709709882736206
time: 0.004, frequency: 200.9348813659688, confidence: 0.5306788086891174
time: 0.005, frequency: 200.07369457730687, confidence: 0.5289191007614136
time: 0.006, frequency: 200.197592809327, confidence: 0.4878130555152893
time: 0.007, frequency: 200.03732657714468, confidence: 0.5676192045211792
time: 0.008, frequency: 200.06127577127413, confidence: 0.5336973071098328
time: 0.009, frequency: 200.15746517516993, confidence: 0.5893930196762085
time: 0.01, frequency: 200.05801586789306, confidence: 0.6017526984214783
time: 0.011, frequency: 200.07413932624144, confidence: 0.6180112361907959
time: 0.012, frequency: 200.16886197905671, confidence: 0.641610860824585
time: 0.013, frequency: 200.06821926406275, confidence: 0.6154689192771912
time: 0.014, frequency: 199.75890176352993, confidence: 0.6471253633499146
time: 0.015, frequency: 199.87770739907188, confidence: 0.7056757807731628
time: 0.016, frequency: 199.7008248046049, confidence: 0.6595454216003418
time: 0.017, frequency: 199.9061598536651, confidence: 0.7138177752494812
time: 0.018, frequency: 199.71979059359387, confidence: 0.6658124923706055
time: 0.019, frequency: 200.02431657930455, confidence: 0.7466058135032654
time: 0.02, frequency: 199.88042004126643, confidence: 0.7513309121131897
time: 0.021, frequency: 199.84228706587854, confidence: 0.74724942445755
time: 0.022, frequency: 199.9748041109183, confidence: 0.7646832466125488
time: 0.023, frequency: 199.9022189533834, confidence: 0.7483651638031006
time: 0.024, frequency: 199.92641996958935, confidence: 0.788459062576294
time: 0.025, frequency: 199.85862459211918, confidence: 0.7791558504104614
time: 0.026, frequency: 199.79856670013777, confidence: 0.7643054723739624
time: 0.027, frequency: 199.95063371793847, confidence: 0.7711621522903442
time: 0.028, frequency: 199.76615462564155, confidence: 0.7795407772064209
time: 0.029, frequency: 199.7883941727822, confidence: 0.7935031652450562
time: 0.03, frequency: 199.61417469757296, confidence: 0.7973577976226807
time: 0.031, frequency: 199.65151054349104, confidence: 0.7821300029754639
time: 0.032, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.033, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.034, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.035, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.036, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.037, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.038, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.039, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.04, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.041, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.042, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.043, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.044, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.045, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.046, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.047, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.048, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.049, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.05, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.051, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.052, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.053, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.054, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.055, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.056, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.057, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.058, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.059, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.06, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.061, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.062, frequency: 199.72117636896178, confidence: 0.7895174026489258
time: 0.063, frequency: 199.81641283095092, confidence: 0.7833442091941833
time: 0.064, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.065, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.066, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.067, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.068, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.069, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.07, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.071, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.072, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.073, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.074, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.075, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.076, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.077, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.078, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.079, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.08, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.081, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.082, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.083, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.084, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.085, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.086, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.087, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.088, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.089, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.09, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.091, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.092, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.093, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.094, frequency: 199.6611572643032, confidence: 0.8058278560638428
time: 0.095, frequency: 199.54024377865807, confidence: 0.8031606078147888
time: 0.096, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.097, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.098, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.099, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.1, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.101, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.102, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.103, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.104, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.105, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.106, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.107, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.108, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.109, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.11, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.111, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.112, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.113, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.114, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.115, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.116, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.117, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.118, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.119, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.12, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.121, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.122, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.123, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.124, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.125, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.126, frequency: 199.64048003714763, confidence: 0.7830628752708435
time: 0.127, frequency: 199.7211415966225, confidence: 0.7895174026489258
time: 0.128, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.129, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.13, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.131, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.132, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.133, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.134, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.135, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.136, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.137, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.138, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.139, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.14, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.141, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.142, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.143, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.144, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.145, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.146, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.147, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.148, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.149, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.15, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.151, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.152, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.153, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.154, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.155, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.156, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.157, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.158, frequency: 199.81643605067512, confidence: 0.7833441495895386
time: 0.159, frequency: 199.66123107635877, confidence: 0.8058278560638428
time: 0.16, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.161, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.162, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.163, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.164, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.165, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.166, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.167, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.168, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.169, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.17, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.171, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.172, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.173, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.174, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.175, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.176, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.177, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.178, frequency: 199.8164299601109, confidence: 0.7833442091941833
time: 0.179, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.18, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.181, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.182, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.183, frequency: 199.8164299601109, confidence: 0.7833442091941833
